Kecamatan,Kelurahan,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SMP,SMA,Diploma I dan II,Diploma III,Strata 1/Diploma IV,Strata 2,Strata 3
Andir,Kebon Jeruk,1580,923,1238,1717,4424,49,294,1319,73,7
Kiaracondong,Kebon Kangkung,2251,914,1624,1843,4574,98,412,980,56,5
Bojongloa Kidul,Kebon Lega,3953,2510,3861,3510,7192,246,763,1860,118,16
Sumur Bandung,Kebon Pisang,1641,1106,1252,1669,4814,119,403,1088,95,14
Batununggal,Kebongedang,1439,839,983,1885,3718,45,285,634,28,2
Batununggal,Kebonwaru,2116,1347,1604,2663,5551,54,411,1028,73,8
Bojongloa Kaler,Kopo,5498,3215,4948,4856,9329,283,771,1778,143,20
Bandung Kidul,Kujangsari,3758,1787,2586,3078,6913,205,802,2464,265,24
Coblong,Lebak Siliwangi,629,340,484,523,1469,35,145,340,23,6
Coblong,Lebakgede,1663,1013,1035,1278,4018,62,500,1421,163,18
Cidadap,Ledeng,1770,979,1391,1270,3592,83,280,1232,141,22
Lengkong,Lingkar Selatan,1404,900,452,1014,4204,185,607,1392,163,23
Lengkong,Malabar,1227,813,814,1116,2782,127,375,1111,179,15
Andir,Maleber,3204,1887,2257,3077,7427,77,571,1532,76,8
Batununggal,Maleer,2689,1618,1940,3110,6208,66,469,1110,64,5
Babakan Ciparay,Margahayu Utara,3754,2415,3990,3331,5623,176,672,2164,189,19
Buahbatu,Margasari,6718,3499,4620,4716,11150,370,2310,5453,661,63
Babakan Ciparay,Margasuka,1930,1269,2548,2124,3168,74,203,542,46,4
Panyileukan,Mekar Mulya,1269,588,343,655,2249,140,516,1368,140,24
Rancasari,Mekarmulya,3399,1905,1951,1964,5099,291,1141,2754,326,29
Bojongloa Kidul,Mekarwangi,1882,1193,2140,1684,2639,77,263,654,30,4
Bandung Kidul,Mengger,1741,937,1249,1546,3257,78,282,1639,172,18
Sumur Bandung,Merdeka,1421,947,477,1069,4112,95,601,1669,220,25
Rancasari,Munjahlega,3372,1709,1488,1721,5812,385,1863,4797,751,95
Cibeunying Kaler,Neglasari,1451,843,959,1320,3154,72,389,1130,161,17
Astana Anyar,Nyengseret,1920,1184,1636,1967,4245,99,335,808,48,6
Cibeunying Kidul,Padasuka,2805,1667,1727,2763,6126,207,604,1344,107,9
Cicendo,Pajajaran,4192,2523,3886,3652,8854,267,798,1565,153,28
Cinambo,Pakemitan,1121,579,503,744,2609,36,258,535,38,11
Cibiru,Palasari,3625,2093,2139,3122,7680,243,755,1769,173,27
Lengkong,Paledang,789,582,498,857,2311,119,325,773,65,11
Cicendo,Pamoyanan,1072,579,658,838,2981,152,429,1179,135,15
Astana Anyar,Panjunan,1221,759,1213,1285,2466,38,189,430,28,2
Ujung Berung,Pasanggrahan,3454,2159,2999,3122,5537,226,661,1556,176,20
Cibiru,Pasir Biru,2863,1685,2253,2415,4940,134,368,1041,131,29
Ujung Berung,Pasir Endah,2677,1682,1319,2044,5370,242,784,2208,304,49
Mandalajati,Pasir Impun,2377,1315,2054,1926,3722,33,309,887,86,17
Cicendo,Pasir Kaliki,1202,734,840,1158,3392,142,473,1171,149,18
Ujung Berung,Pasirjati,3024,1932,2238,2684,5154,177,632,1183,100,13
Cibeunying Kidul,Pasirlayung,3882,2091,2307,3111,7088,263,981,2396,281,35
Regol,Pasirluyu,2856,1668,2550,2456,5399,77,485,1294,115,13
Ujung Berung,Pasirwangi,3023,1851,2494,2527,4786,182,474,1032,87,17
Sukajadi,Pasteur,2632,1715,1797,2293,6325,216,850,2110,266,40
Astana Anyar,Pelindung Hewan,3385,1999,2370,3100,7216,170,559,1477,108,7
Regol,Pungkur,942,640,517,909,2956,128,403,934,71,7
Gedebage,Rancabolang,2072,1200,960,1157,2287,113,656,1893,233,16
Gedebage,Rancanumpang,780,616,403,603,1396,88,313,732,90,11
Coblong,Sadangserang,4006,2466,2456,3390,10049,210,1028,2556,203,25
Batununggal,Samoja,2112,1291,1507,2249,5068,51,307,730,26,4
Sukasari,Sarijadi,4257,2387,2332,2577,8521,387,1759,4391,626,77
Buahbatu,Sekejati,4026,2007,2064,2370,7134,369,1747,4419,707,96
Coblong,Sekeloa,4276,2501,2672,3271,9944,174,953,2836,340,52
Mandalajati,Sindang Jaya,2619,1387,1413,1985,4473,57,674,1605,201,28
Arcamanik,Sindanglaya/Cisantren Endah,3345,1728,2653,2447,5234,187,886,2617,460,65
Bojongloa Kidul,Situsaeur,3356,2198,2888,3343,7264,232,694,1416,84,10
Bojongloa Kaler,Suka Asih,3393,1875,3002,3136,6084,201,507,1118,110,16
Sukajadi,Sukabungah,3179,2320,3023,3248,7135,208,792,1503,128,12
Sukajadi,Sukagalih,2746,2017,2978,2362,5019,172,580,2125,337,57
Babakan Ciparay,Sukahaji,5129,3301,6670,5421,8149,136,456,1265,77,6
Cibeunying Kaler,Sukaluyu,2283,1415,1311,1800,5498,170,765,2387,317,60
Cibeunying Kidul,Sukamaju,1717,932,860,1483,4139,89,617,1465,108,14
Arcamanik,Sukamiskin,3272,1605,1513,2114,6397,261,1190,4321,827,120
Cinambo,Sukamulya,935,578,676,864,1875,26,159,410,24,8
Cibeunying Kidul,Sukapada,3758,2088,2865,3496,7514,211,714,1730,194,32
Kiaracondong,Sukapura,5224,2164,3724,4412,9341,104,751,1976,149,11
Cicendo,Sukaraja,3764,2327,2549,3080,8008,281,897,2305,339,46
Sukasari,Sukarasa,2152,1128,2078,1608,3707,114,458,1644,278,43
Sukajadi,Sukawarna,2285,1438,2056,1786,4077,173,536,1537,224,28
Bandung Wetan,Tamansari,3271,2092,2142,2545,8866,298,935,2157,257,51
Lengkong,Turangga,1915,1442,645,1313,3734,227,1047,3915,837,130
Bandung Kulon,Warung Muncang,3642,2417,4169,3637,5732,148,337,803,52,17
Bandung Kidul,Wates,1470,760,941,1373,2896,51,215,380,23,0
